Site Id,Facility Type,Loc Id,Effective Date,Region,ADO,State Id,State Name,County,County State,City,Name,Ownership,Use,Owner,Owner Address,"Owner City, State, Zip",Owner Phone,Manager,Manager Address,"Manager City, State, Zip",Manager Phone,ARP Latitude,ARP Latitude Sec,ARP Longitude,ARP Longitude Sec,ARP Method,Elevation,Elevation Method,Magnetic Variation,Magnetic Variation Year,Traffic Pattern Altitude,Sectional,Distance From CBD,Direction From CBD,Land Area,ARTCC Id,ARTCC Computer ID,ARTCC Name,Responsible ARTCC Id,Responsible ARTCC Computer Id,Responsible ARTCC Name,Tie In FSS,Tie In FSS Id,Tie In FSS Name,FSS Phone Number,FSS Toll Free Number,Alternate FSS Id,Alternate FSS Name,Alternate FSS Toll Free Number,NOTAM Facility Id,NOTAM Service,Activation Date,Airport Status Code,Certification Type Date,Federal Agreements,Airspace Determination,Customs Airport Of Entry,Customs Landing Rights,Military Joint Use,Military Landing Rights,Inspection Method,Inspection Group,Last Inspection Date,Last Owner Information Date,Fuel Types,Airframe Repair,Power Plant Repair,Bottled Oxygen Type,Bulk Oxygen Type,Lighting Schedule,Beacon Schedule,ATCT,UNICOM,CTAF,Segmented Circle,Beacon Color,Non Commercial Landing Fee,Medical Use,Single Engine Aircraft,Multi Engine Aircraft,Jet Engine Aircraft,Helicopters,Gliders Operational,Military Operational,Ultralights,Commercial Operations,Commuter Operations,Air Taxi Operations,GA Local Operations,GA Itin Operations,Military Operations,Operations Date,Airport Position Source,Airport Position Source Date,Airport Elevation Source,Airport Elevation Source Date,Fuel Available,Transient Storage,Other Services,Wind Indicator,Icao Id,NPIAS Hub,NPIAS Role
03493.*A,AIRPORT,SEF,2021-02-25,ASO,ORL,FL,FLORIDA,HIGHLANDS,FL,SEBRING,SEBRING RGNL,PU,PU,SEBRING AIRPORT AUTHORITY,128 AUTHORITY LANE,"SEBRING, FL 33870",863-655-6444,MIKE WILLINGHAM,"SEBRING REGIONAL AIRPORT, 128 AUTHORITY LANE","SEBRING, FL 33870",863-655-6444,027-27-23.0000N,098843.0000N,081-20-32.6000W,0292832.6000W,E,61.6,S,05W,2000,,MIAMI,06,SE,1768,ZMA,ZCR,MIAMI,ZMA,ZCR,MIAMI,N,PIE,SAINT PETERSBURG,,1-800-WX-BRIEF,,,,PIE,Y,1942-12-01,O,,NGRY,NOT ANALYZED,N,N,N,Y,S,S,2018-07-26,,100LL A UL94,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,122.700,122.700,Y-L,CG,N,,57,21,4,3,0,0,0,,,,29795,42475,400,2020-10-09,NGS,2010-01-28,NGS,2010-01-28,,"HGR,TIE","AGRI,AMB,INSTR,RNTL,SALES",Y-L,KSEF,N/A,Regional
03198.2*A,AIRPORT,RSW,2021-02-25,ASO,ORL,FL,FLORIDA,LEE,FL,FORT MYERS,SOUTHWEST FLORIDA INTL,PU,PU,BOARD OF COM LEE CO PORT AUTH,PO BOX 398,"FORT MYERS, FL 33902",239-590-4800,BEN SIEGEL,11000 TERMINAL ACCESS RD.,"FORT MYERS, FL 33913",239-590-4400,026-32-10.2000N,095530.2000N,081-45-18.6000W,0294318.6000W,E,29.7,S,04W,2000,,MIAMI,10,SE,13555,ZMA,ZCR,MIAMI,ZMA,ZCR,MIAMI,,MIA,MIAMI,,1-800-WX-BRIEF,,,,RSW,Y,1983-03-01,O,I D S 05/1983,NGY,NO OBJECTION,N,Y,,Y,F,F,2019-05-17,2002-06-20,100LL A A+,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.950,128.750,Y,CG,Y,,,0,4,0,,,,69941,,4674,52,5944,1132,2019-03-31,NGS,1998-06-06,NGS,1998-06-06,,"HGR,TIE",CARGO,Y-L,KRSW,Medium,
03532.*A,AIRPORT,TIX,2021-02-25,ASO,ORL,FL,FLORIDA,BREVARD,FL,TITUSVILLE,SPACE COAST RGNL,PU,PU,TITUSVILLE COCOA ARPT AUTH,355 GOLDEN KNIGHTS BLVD,"TITUSVILLE, FL 32780",321-267-8780,"MICHAEL D. POWELL, C.M., ACE",355 GOLDEN KNIGHTS BLVD,"TITUSVILLE, FL 32780",321-267-8780,028-30-53.3000N,102653.3000N,080-47-57.2000W,0290877.2000W,E,33.8,S,05W,2000,,JACKSONVILLE,05,S,1650,ZMA,ZCR,MIAMI,ZJX,ZCJ,JACKSONVILLE,N,PIE,SAINT PETERSBURG,,1-800-WX-BRIEF,,,,TIX,Y,1944-10-01,O,IV A U 10/1985,NGRY3,NO OBJECTION,N,N,N,Y,F,F,2020-02-25,,100LL A,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,Y,122.950,118.900,N,CG,N,,30,3,0,14,0,0,0,0,,249,36485,40191,191,2019-12-31,3RD PARTY SURVEY,2015-06-22,3RD PARTY SURVEY,2015-06-22,,"HGR,TIE","AVNCS,CHTR,INSTR,RNTL,SALES",Y-L,KTIX,N/A,Local
03475.*A,AIRPORT,PIE,2021-02-25,ASO,ORL,FL,FLORIDA,PINELLAS,FL,ST PETERSBURG-CLEARWATER,ST PETE-CLEARWATER INTL,PU,PU,COUNTY OF PINELLAS,"ST. PETE-CLEARWATER INTERNATIONAL, TERMINAL BLVD. SUITE 221","CLEARWATER, FL 33762",727-453-7800,THOMAS JEWSBURY,ST PETE-CLEARWATER INTERNATIONAL,"CLEARWATER, FL 33762",727-453-7800,027-54-31.0800N,100471.0810N,082-41-11.4400W,0297671.4360W,E,10.7,S,05W,2010,,MIAMI,08,N,1900,ZMA,ZCR,MIAMI,ZMA,ZCR,MIAMI,N,PIE,SAINT PETERSBURG,,1-800-WX-BRIEF,,,,PIE,Y,1942-10-01,O,I C S 11/1974,NGPRY3,NO OBJECTION,N,Y,N,Y,F,F,2019-05-31,,100 A A1+,MAJOR,MAJOR,NONE,HIGH/LOW,SEE RMK,SS-SR,Y,122.950,118.300,N,CG,N,,135,23,44,29,,27,1,15557,,5637,61910,48935,11316,2019-12-31,3RD PARTY SURVEY,2020-06-19,3RD PARTY SURVEY,2020-06-19,,"HGR,TIE","AFRT,AMB,CHTR,INSTR,RNTL",Y-L,KPIE,Small,
03305.1*A,AIRPORT,24J,2021-02-25,ASO,ORL,FL,FLORIDA,SUWANNEE,FL,LIVE OAK,SUWANNEE COUNTY,PU,PU,SUWANNEE COUNTY,13150 80TH TERRACE,"LIVE OAK, FL 32064",386-364-3400,GREG SCOTT,1201 SILAS DRIVE,"LIVE OAK, FL 32064",(386) 362-3004,030-18-01.4000N,109081.4000N,083-01-27.8000W,0298887.8000W,E,103.3,S,05W,2015,1197,JACKSONVILLE,02,W,183,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,N,GNV,GAINESVILLE,,1-800-WX-BRIEF,,,,GNV,Y,1965-07-01,O,,NGY,CONDITIONAL,N,N,N,Y,S,S,2018-04-04,,100LL A,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,122.800,122.800,Y-L,CG,N,,28,4,0,2,1,0,0,,,,9600,6700,,2018-04-04,3RD PARTY SURVEY,2012-04-10,3RD PARTY SURVEY,2012-04-10,,TIE,"AGRI,AMB,INSTR,SALES",Y-L,,N/A,Local
03509.1*A,AIRPORT,TLH,2021-02-25,ASO,ORL,FL,FLORIDA,LEON,FL,TALLAHASSEE,TALLAHASSEE INTL,PU,PU,CITY OF TALLAHASSEE,CITY HALL,"TALLAHASSEE, FL 32304",850-891-7802,DAVID POLLARD,3300 CAPITAL CIRCLE SW,"TALLAHASSEE, FL 32310",850-891-7802,030-23-48.3200N,109428.3150N,084-21-03.1300W,0303663.1280W,E,83.1,S,05W,2020,,JACKSONVILLE,04,SW,2485,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,N,GNV,GAINESVILLE,,1-800-WX-BRIEF,,,,TLH,Y,1961-09-01,O,I C S 05/1973,NGSY,NO OBJECTION,N,N,N,Y,F,F,2020-07-13,,100LL A,MAJOR,MAJOR,HIGH,HIGH,SEE RMK,SS-SR,Y,123.075,118.700,Y,CG,N,,150,11,5,12,,,,8881,,9237,11199,24022,13395,2020-05-31,3RD PARTY SURVEY,2017-02-22,3RD PARTY SURVEY,2017-02-22,,HGR,"AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L,KTLH,Non-Hub,
03513.1*A,AIRPORT,VDF,2021-02-25,ASO,ORL,FL,FLORIDA,HILLSBOROUGH,FL,TAMPA,TAMPA EXEC,PU,PU,HILLSBOROUGH COUNTY AVIATION AUTH,PO BOX 22287,"TAMPA, FL 33622",(813) 870-8776,"BRETT W FAY, C.M.",PO BOX 22287,"TAMPA, FL 33622",(813) 870-8735,028-00-50.3500N,100850.3540N,082-20-42.9300W,0296442.9330W,E,21.1,S,04W,2000,,JACKSONVILLE,06,E,411,ZJX,ZCJ,JACKSONVILLE,ZMA,ZCR,MIAMI,N,PIE,SAINT PETERSBURG,,1-800-WX-BRIEF,,,,VDF,Y,1957-05-01,O,,NGY,CONDITIONAL,N,N,N,N,S,S,2017-12-13,,100LL A,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,122.700,122.700,Y-L,CG,N,,147,19,5,5,0,0,0,,,520,50040,44000,30,2017-12-13,FAA-EST,2018-11-16,3RD PARTY SURVEY,2012-01-16,,"HGR,TIE","AVNCS,CHTR,INSTR,RNTL,SALES",Y-L,KVDF,N/A,Regional
03513.*A,AIRPORT,TPA,2021-02-25,ASO,ORL,FL,FLORIDA,HILLSBOROUGH,FL,TAMPA,TAMPA INTL,PU,PU,HILLSBOROUGH CO AVN AUTHORITY,PO BOX 22287,"TAMPA, FL 33622",813-870-8700,JOHN TILIACOS,PO BOX 22287,"TAMPA, FL 33622",813-870-8700,027-58-31.7000N,100711.7000N,082-31-59.7000W,0297119.7000W,E,26.4,S,05W,2010,,MIAMI,06,W,3300,ZJX,ZCJ,JACKSONVILLE,ZMA,ZCR,MIAMI,N,PIE,SAINT PETERSBURG,,1-800-WX-BRIEF,,,,TPA,Y,1940-04-01,O,I D S 05/1973,NGPRY,NO OBJECTION,Y,Y,N,Y,F,F,2019-07-19,,100LL A,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SS-SR,SS-SR,Y,122.950,,N,CG,N,,9,7,57,6,,,,159714,,17847,85,22711,638,2020-06-30,3RD PARTY SURVEY,2013-11-23,3RD PARTY SURVEY,2013-11-23,,"HGR,TIE","AVNCS,CARGO,CHTR",Y-L,KTPA,Large,
03314.*A,AIRPORT,MTH,2021-02-25,ASO,ORL,FL,FLORIDA,MONROE,FL,MARATHON,THE FLORIDA KEYS MARATHON INTL,PU,PU,MONROE COUNTY,500 WHITEHEAD ST,"KEY WEST, FL 33040",305-296-5439,MICHAEL LEGERE,9400 OVERSEAS HWY SUITE 200,"MARATHON, FL 33050",305-289-6302,024-43-34.3000N,089014.3000N,081-03-04.9000W,0291784.9000W,E,5.2,S,04W,2000,,MIAMI,03,E,197,ZMA,ZCR,MIAMI,ZMA,ZCR,MIAMI,N,MIA,MIAMI,,1-800-WX-BRIEF,,,,MTH,Y,1944-03-01,O,I A U 12/1974,NGY,NOT ANALYZED,N,Y,N,Y,F,F,2020-01-14,,100LL A1+,MINOR,MINOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,N,122.975,122.975,Y,CG,N,,41,8,1,10,0,0,0,0,,0,25110,20015,479,2019-10-31,NGS,2007-07-20,NGS,2007-07-20,,TIE,"AGRI,INSTR,RNTL,SALES",Y-L,KMTH,N/A,Regional
03202.*A,AIRPORT,FPR,2021-02-25,ASO,ORL,FL,FLORIDA,ST LUCIE,FL,FORT PIERCE,TREASURE COAST INTL,PU,PU,ST. LUCIE COUNTY,2300 VIRGINIA AVE,"FT PIERCE, FL 34982-5652",772-462-1732,JOHN WIATRAK,"3000 CURTIS KING BOULEVARD, 3000 CURTIS KING BOULEVARD","FT PIERCE, FL 34946",772-462-1727,027-29-50.9000N,098990.9000N,080-22-21.5000W,0289341.5000W,E,23.4,S,07W,2015,,MIAMI,03,NW,3844,ZMA,ZCR,MIAMI,ZMA,ZCR,MIAMI,N,MIA,MIAMI,,1-800-WX-BRIEF,,,,FPR,Y,,O,,NGY3,NO OBJECTION,N,Y,N,Y,S,S,2018-01-09,,100LL A,MAJOR,MAJOR,NONE,HIGH/LOW,SEE RMK,SS-SR,Y,,128.200,Y-L,CG,N,,145,39,7,15,1,0,0,,,,103880,92120,,2018-01-02,NGS,2009-11-07,NGS,2009-11-07,,"HGR,TIE","AMB,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L,KFPR,N/A,National
03063.51*A,AIRPORT,1J0,2021-02-25,ASO,ORL,FL,FLORIDA,HOLMES,FL,BONIFAY,TRI-COUNTY,PU,PU,TRI COUNTY AIRPORT AUTHORITY,PO BOX 756,"BONIFAY, FL 32425",(850) 547-6519,MARK WILSON,1983 TRI COUNTY AIRPORT RD,"BONIFAY, FL 32425",(850) 281-2239,030-50-37.9900N,111037.9880N,085-36-06.3000W,0308166.2980W,E,86,S,03W,2010,,NEW ORLEANS,06,NE,300,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,N,GNV,GAINESVILLE,,1-800-WX-BRIEF,,,,GNV,Y,1975-02-01,O,,NGY,CONDITIONAL,N,N,N,Y,S,S,2018-03-08,,100LL A,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,122.725,122.725,Y,CG,N,,28,6,0,0,0,0,0,,,104,1200,7072,20000,2018-03-08,OWNER,2018-09-30,3RD PARTY SURVEY,2018-09-30,,"HGR,TIE","AGRI,INSTR,RNTL",Y-L,,N/A,Local
03533.3*A,AIRPORT,X23,2021-02-25,ASO,ORL,FL,FLORIDA,LAKE,FL,UMATILLA,UMATILLA MUNI,PU,PU,CITY OF UMATILLA,PO BOX 2286,"UMATILLA, FL 32784-2286",352-669-3125,SCOTT BLANKENSHIP,PO BOX 2286,"UMATILLA, FL 32784-2286",352-669-3125,028-55-27.1900N,104127.1950N,081-39-06.5300W,0293946.5250W,E,107,E,06W,2015,,JACKSONVILLE,01,E,65,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,N,PIE,SAINT PETERSBURG,,1-800-WX-BRIEF,,,,PIE,Y,1948-03-01,O,,N,NOT ANALYZED,N,N,N,N,S,S,2018-09-18,,100 100LL,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,,122.900,Y-L,CG,N,,21,3,0,0,0,0,1,,,,4800,3200,,2018-09-18,FAA,2010-01-08,FAA,2010-01-08,,TIE,INSTR,Y-L,,N/A,Basic
03533.8*A,AIRPORT,X59,2021-02-25,ASO,ORL,FL,FLORIDA,BREVARD,FL,VALKARIA,VALKARIA,PU,PU,BREVARD COUNTY,"2725 JUDGE FRAN JAMIESON WAY, BUILDING C SUITE 301","VIERA, FL 32940",(321) 633-2001,STEVE BOROWSKI,1 PILOT'S PLACE,"VALKARIA, FL 32950",321-952-4590,027-57-39.1200N,100659.1160N,080-33-29.9800W,0290009.9800W,E,25.8,S,03W,1985,,MIAMI,01,W,660,ZMA,ZCR,MIAMI,ZJX,ZCJ,JACKSONVILLE,N,PIE,SAINT PETERSBURG,,1-800-WX-BRIEF,,,,PIE,Y,1946-12-01,O,,NPY,NOT ANALYZED,N,N,N,Y,S,S,2018-08-16,,100LL A,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,122.725,122.725,Y-L,CG,N,,69,2,0,2,2,0,0,,,,39140,13290,730,2018-08-16,3RD PARTY SURVEY,2019-08-07,3RD PARTY SURVEY,2019-08-07,,"HGR,TIE","AGRI,AVNCS,GLD,INSTR,RNTL",Y-L,,N/A,Local
03538.*A,AIRPORT,VNC,2021-02-25,ASO,ORL,FL,FLORIDA,SARASOTA,FL,VENICE,VENICE MUNI,PU,PU,CITY OF VENICE,401 WEST VENICE AVE,"VENICE, FL 34285",941-486-2626,MARK J. CERVASIO,150 EAST AIRPORT AVE,"VENICE, FL 34285",941-486-2711,027-04-17.8000N,097457.8000N,082-26-25.2000W,0296785.2000W,E,17.7,S,05W,2010,,MIAMI,02,S,835,ZMA,ZCR,MIAMI,ZMA,ZCR,MIAMI,N,PIE,SAINT PETERSBURG,,1-800-WX-BRIEF,,,,PIE,Y,1944-07-01,O,,NGPRY,NO OBJECTION,N,N,N,Y,S,S,2018-10-12,,100LL A,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,122.725,122.725,Y-L,CG,N,,162,14,0,5,1,0,0,,,,32018,28816,,2018-10-12,3RD PARTY SURVEY,2011-01-24,3RD PARTY SURVEY,2011-01-24,,"HGR,TIE","AVNCS,CHTR,INSTR,RNTL,SALES",Y-L,KVNC,N/A,Regional
03540.*A,AIRPORT,VRB,2021-02-25,ASO,ORL,FL,FLORIDA,INDIAN RIVER,FL,VERO BEACH,VERO BEACH RGNL,PU,PU,CITY OF VERO BEACH,PO BOX 1389,"VERO BEACH, FL 32960",772-978-5151,TODD SCHER,3400 CHEROKEE DRIVE,"VERO BEACH, FL 32960-1389",772-978-4930,027-39-20.0000N,099560.0000N,080-25-04.6000W,0289504.6000W,E,23.6,S,07W,2015,,MIAMI,01,NW,1707,ZMA,ZCR,MIAMI,ZMA,ZCR,MIAMI,,PIE,SAINT PETERSBURG,,1-800-WX-BRIEF,,,,VRB,Y,1940-04-01,O,I A S 11/1974,NGPRY3,NO OBJECTION,N,N,N,Y,F,F,2020-02-13,,100 A,MAJOR,MAJOR,HIGH/LOW,NONE,SEE RMK,SS-SR,Y,122.950,126.300,Y,CG,N,,130,44,6,2,0,0,0,177,,64572,115500,64493,197,2018-12-31,3RD PARTY SURVEY,2009-09-15,3RD PARTY SURVEY,2009-09-15,,"HGR,TIE","AFRT,AMB,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L,KVRB,Non-Hub,
03427.*A,AIRPORT,2J0,2021-02-25,ASO,ORL,FL,FLORIDA,WAKULLA,FL,PANACEA,WAKULLA COUNTY,PU,PU,WAKULLA COUNTY,PO BOX 1263,"CRAWFORDVILLE, FL 32326-1263",850-926-0919,STEVEN FULTS,35 MONOCOUPE CIRCLE,"PANACEA, FL 32346",850-321-0373,029-59-22.0400N,107962.0400N,084-23-43.4100W,0303823.4100W,E,11,S,01W,1985,,JACKSONVILLE,03,S,13,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,N,GNV,GAINESVILLE,,1-800-WX-BRIEF,,,,GNV,Y,1966-06-01,O,,,CONDITIONAL,,,,,S,S,2018-04-02,,,NONE,NONE,NONE,NONE,SEE RMK,,N,,122.900,N,,N,,2,0,,,,,1,,,,2000,300,80,2018-04-02,FAA-EST,2002-07-09,,,,TIE,,Y,,,
03546.1*A,AIRPORT,CHN,2021-02-25,ASO,ORL,FL,FLORIDA,HARDEE,FL,WAUCHULA,WAUCHULA MUNI,PU,PU,CITY OF WAUCHULA,126 S 7TH AVE.,"WAUCHULA, FL 33873",863-773-3131,WARD GRIMES,1202 MAURICE SONNY CLAVEL RD.,"WAUCHULA, FL 33873",(863) 773-3115,027-30-53.7000N,099053.7000N,081-52-49.7000W,0294769.7000W,E,107.8,S,04W,2000,,MIAMI,05,SW,106,ZMA,ZCR,MIAMI,ZMA,ZCR,MIAMI,N,PIE,SAINT PETERSBURG,,1-800-WX-BRIEF,,,,PIE,Y,1983-11-01,O,,NGY,NO OBJECTION,,,,,S,S,2018-07-25,,100LL,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,,122.900,Y-L,CG,N,,18,2,0,4,0,0,0,,,,3360,4840,,2018-07-25,3RD PARTY SURVEY,2010-10-19,3RD PARTY SURVEY,2010-10-19,,TIE,"AGRI,PAJA",Y-L,KCHN,N/A,Local
03559.*A,AIRPORT,X60,2021-02-25,ASO,ORL,FL,FLORIDA,LEVY,FL,WILLISTON,WILLISTON MUNI,PU,PU,CITY OF WILLISTON,PO BOX 160,"WILLISTON, FL 32696",352-528-4900,BENTON STEGALL,PO BOX 160,"WILLISTON, FL 32696-0160",352-528-4900,029-21-16.5800N,105676.5780N,082-28-14.0300W,0296894.0290W,E,75.6,S,04W,2000,,JACKSONVILLE,02,SW,1600,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,N,GNV,GAINESVILLE,,1-800-WX-BRIEF,,,,GNV,Y,1944-02-01,O,,NGPRY,NOT ANALYZED,N,N,N,Y,S,S,2018-09-21,,100LL A,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,122.975,122.975,Y,CG,N,,61,11,6,4,0,0,0,,,,4950,11300,,2018-09-21,ADO,2020-03-18,3RD PARTY SURVEY,2010-10-09,,"HGR,TIE","CHTR,INSTR,RNTL,SALES",Y-L,,N/A,Local
03570.*A,AIRPORT,GIF,2021-02-25,ASO,ORL,FL,FLORIDA,POLK,FL,WINTER HAVEN,WINTER HAVEN RGNL,PU,PU,CITY OF WINTER HAVEN,P.O. BOX 2277,"WINTER HAVEN, FL 33883-2277",863-291-5600,ALEXANDER VACHA,2073 HWY 92 WEST,"WINTER HAVEN, FL 33881",863-298-4551,028-03-46.5000N,101026.5000N,081-45-11.9000W,0294311.9000W,E,145.3,S,04W,2000,855,JACKSONVILLE,03,NW,520,ZMA,ZCR,MIAMI,ZMA,ZCR,MIAMI,N,PIE,SAINT PETERSBURG,,1-800-WX-BRIEF,,,,GIF,Y,1940-04-01,O,,NGY3,NO OBJECTION,N,N,N,Y,S,S,2018-07-24,,100LL A MOGAS,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,123.050,123.050,N,CG,N,,138,10,0,2,1,0,0,,,,46798,31200,,2018-07-24,NGS,2006-01-29,,,,"HGR,TIE","AVNCS,INSTR,RNTL,SALES",Y-L,KGIF,N/A,Regional
03507.*A,AIRPORT,SUA,2021-02-25,ASO,ORL,FL,FLORIDA,MARTIN,FL,STUART,WITHAM FLD,PU,PU,MARTIN COUNTY,2011 SOUTHEAST AIRPORT ROAD,"STUART, FL 34996",772-221-2374,SAM CARVER,2011 SOUTHEAST AIRPORT ROAD,"STUART, FL 34996",772-221-2374,027-10-54.1200N,097854.1170N,080-13-16.6600W,0288796.6560W,E,16.1,S,06W,2010,,MIAMI,01,SE,726,ZMA,ZCR,MIAMI,ZMA,ZCR,MIAMI,N,MIA,MIAMI,,1-800-WX-BRIEF,,,,MIA,Y,1943-07-01,O,,NGRY3,NOT ANALYZED,N,N,N,Y,S,S,2018-01-10,,100LL A,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,Y,,126.600,Y,CG,N,,206,74,66,9,1,0,0,,,4460,52798,63063,235,2018-01-10,3RD PARTY SURVEY,2019-11-19,3RD PARTY SURVEY,2019-11-19,,"HGR,TIE","AMB,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L,KSUA,N/A,National
03577.*A,AIRPORT,ZPH,2021-02-25,ASO,ORL,FL,FLORIDA,PASCO,FL,ZEPHYRHILLS,ZEPHYRHILLS MUNI,PU,PU,CITY OF ZEPHYRHILLS,39450 SOUTH AVENUE,"ZEPHYRHILLS, FL 33542",813-780-0030,NATHAN COLEMAN,"ZEPHYRHILLS MUNICIPAL AIRPORT, 39450 SOUTH AVENUE","ZEPHYRHILLS, FL 33542",813-780-0030,028-13-40.8000N,101620.8000N,082-09-21.6000W,0295761.6000W,E,89.9,S,06W,2015,,JACKSONVILLE,01,SE,813,ZJX,ZCJ,JACKSONVILLE,ZMA,ZCR,MIAMI,N,PIE,SAINT PETERSBURG,,1-800-WX-BRIEF,,,,PIE,Y,1942-12-01,O,,NGPRY3,NOT ANALYZED,N,N,N,Y,S,S,2017-12-12,,100LL A A+,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,123.075,123.075,Y-L,CG,N,,101,10,1,6,0,0,1,,,150,32850,16425,,2017-12-12,3RD PARTY SURVEY,2015-02-12,3RD PARTY SURVEY,2015-02-12,,"HGR,TIE","GLD,INSTR,PAJA,RNTL,TOW",Y-L,KZPH,N/A,Regional
03637.*A,AIRPORT,AHN,2021-02-25,ASO,ATL,GA,GEORGIA,CLARKE,GA,ATHENS,ATHENS/BEN EPPS,PU,PU,CLARKE COUNTY,"PO BOX 448, CO COURTHOUSE","ATHENS, GA 30601",706-613-3420,MIKE MATTHEWS,1010 BEN EPPS DRIVE,"ATHENS, GA 30605",706-613-3416,033-56-55.1000N,122215.1000N,083-19-33.3000W,0299973.3000W,E,812.5,S,06W,2020,992,ATLANTA,03,E,425,ZTL,ZCT,ATLANTA,ZTL,ZCT,ATLANTA,N,MCN,MACON,,1-800-WX-BRIEF,,,,AHN,Y,1940-07-01,O,II A S 02/1985,NGY3,NO OBJECTION,N,N,N,Y,F,F,2019-06-20,,100LL A A1,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,Y,122.950,126.300,Y,CG,N,,69,7,1,1,1,0,0,51,,1315,15544,22579,771,2020-06-30,3RD PARTY SURVEY,2013-10-03,3RD PARTY SURVEY,2013-10-03,,"HGR,TIE","AFRT,CHTR,INSTR,RNTL,SALES",Y,KAHN,N/A,Local
03640.23*A,AIRPORT,FFC,2021-02-25,ASO,ATL,GA,GEORGIA,FAYETTE,GA,ATLANTA,ATLANTA RGNL FALCON FLD,PU,PU,PEACHTREE CITY ARPT AUTH,7 FALCON DRIVE,"PEACHTREE CITY, GA 30269",770-487-2225,HOPE MACALUSO,7 FALCON DRIVE,"PEACHTREE CITY, GA 30269",770-487-2225,033-21-27.8000N,120087.8000N,084-34-21.1000W,0304461.1000W,E,807.7,S,05W,2015,,ATLANTA,25,SW,350,ZTL,ZCT,ATLANTA,ZTL,ZCT,ATLANTA,N,MCN,MACON,,1-800-WX-BRIEF,,,,FFC,Y,1970-10-01,O,,NGY,NO OBJECTION,,,N,,S,S,2019-04-01,,100LL A+,MAJOR,MAJOR,NONE,LOW,SEE RMK,SS-SR,N,123.050,123.050,Y,CG,N,,164,29,5,0,0,0,0,,,,41000,34500,500,2018-12-31,3RD PARTY SURVEY,2014-11-15,3RD PARTY SURVEY,2014-11-15,,"HGR,TIE","AVNCS,CHTR,INSTR,RNTL,SALES,SURV",Y-L,KFFC,N/A,Regional
03825.52*A,AIRPORT,HMP,2021-02-25,ASO,ATL,GA,GEORGIA,HENRY,GA,HAMPTON,ATLANTA SPEEDWAY,PU,PU,HENRY COUNTY,140 HENRY PARKWAY,"MCCONOUGH, GA 30253",770-288-6000,LYNN PLANCHON,474 SPEEDWAY BLVE,"HAMPTON, GA 30228",(770) 288-7834,033-23-23.6600N,120203.6600N,084-19-51.7200W,0303591.7200W,E,882,E,03W,1995,,ATLANTA,02,W,543,ZTL,ZCT,ATLANTA,ZTL,ZCT,ATLANTA,N,MCN,MACON,,1-800-WX-BRIEF,,,,MCN,Y,1970-06-01,O,,NMY,CONDITIONAL,N,N,,,S,S,2019-02-14,,100LL A+,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,122.725,122.725,Y,CG,,,70,17,10,11,0,0,0,,,1500,5000,5000,,2018-12-31,NGS,,FAA,,,TIE,,Y-L,KHMP,N/A,Regional
